file_id	speaker	gender	Welsh	lexeme	vowel	vtype	next_cons	Ctype	dur_vwl	dur_cns	breath_dur_ms	brNORM	preasp_dur_ms	PRE_DUR	PRE_DUR_NORM	preNORM	br	pre	PRE	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp	ZCR
Chloe-pwtyn-1	3	F	L2	pwtyn	w	mon	2t	fortis	45	296	0	NA	0	0	NA	NA	2no	2no	2no	67	53	-80	0.072	0.117	183	181	433	1448	2958	61	800	750	1000	650	300	0	0	0
Chloe-gwlyb-1	3	F	L2	gwlyb	y	mon	b	lenis	NA	100	0	NA	0	0	NA	NA	2no	2no	2no	62	27	-33	0.01	0.057	221	183	441	1644	3115	68	822	1010	1150	1030	1000	0	0	0
Chloe-pobl-1	3	F	L2	pobl	o	mon	b	lenis	44	273	0	NA	0	0	NA	NA	2no	2no	2no	78	28	-79	0.044	0.099	234	210	428	949	2603	66	900	900	800	700	200	0	0	0
Chloe-ruban-1	3	F	L2	ruban	u	mon	b	lenis	NA	417	0	NA	0	0	NA	NA	2no	2no	2no	103	14	-79	0.01	0.079	203	198	382	1970	3053	70	800	800	800	800	850	0	0	0
Chloe-bod-1	3	F	L2	bod	o	mon	d	lenis	196	121	0	NA	0	0	NA	NA	2no	2no	2no	76	35	-21	0.006	0.054	196	163	522	1026	2784	70	1071	1088	1050	1050	971	0	0	0
Chloe-budr-1	3	F	L2	budr	u	mon	d	lenis	46	368	0	NA	0	0	NA	NA	2no	2no	2no	126	19	-80	0.01	0.146	92	91	450	1998	2865	64	900	850	950	850	400	0	0	0
Chloe-gwydr-1	3	F	L2	gwydr	wy	diph	d	lenis	NA	313	0	NA	0	0	NA	NA	2no	2no	2no	93	12	-73	0.023	0.08	199	195	398	1692	2571	69	867	767	767	800	667	0	0	0
Chloe-odl-1	3	F	L2	odl	o	mon	d	lenis	50	197	0	NA	0	0	NA	NA	2no	2no	2no	71	15	-78	0.032	0.103	196	192	447	1256	2860	60	750	800	950	2600	3000	0	0	0
Chloe-pedwar-1	3	F	L2	pedwar	e	mon	d	lenis	64	393	0	NA	0	0	NA	NA	2no	2no	2no	79	39	-74	0.017	0.221	98	95	462	1926	2923	61	1100	1067	950	700	900	0	0	0
Chloe-cwd-1	3	F	L2	cwd	w	mon	d	lenis	184	149	0	NA	0	0	NA	NA	2no	2no	2no	116	23	-40	0.009	0.084	220	183	416	1003	2637	67	800	1071	1075	1071	686	0	0	0
Chloe-rwdins-1	3	F	L2	rwdins	w	mon	d	lenis	76	375	0	NA	0	0	NA	NA	2no	2no	2no	85	13	-76	0.026	0.08	208	201	412	1381	2848	66	900	800	800	733	650	0	0	0
Emily-clec-1	4	F	L2	clec	e	mon	3k	fortis	NA	235	0	NA	0	0	NA	NA	2no	2no	2no	124	101	42	0.016	0.075	224	211	802	1509	2620	71	1400	1660	1650	1680	2000	0	0	0
Emily-popeth-1	4	F	L2	popeth	o	mon	1p	fortis	54	360	0	NA	0	0	NA	NA	2no	2no	2no	92	31	-70	0.018	0.099	256	242	683	1033	2916	72	1400	1500	1400	1400	950	0	0	0
